,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
5581,533271,ASHOKA,ASHOKA BUILDCON LTD.,Active,B ,5.0,INE442H01029,Roads &amp; Highways,Equity
5582,533272,CEBBCO,COMMERCIAL ENGINEERS &amp; BODY BUILDERS CO. LTD.,Active,B ,10.0,INE209L01016,Commercial Vehicles,Equity
5583,533273,OBEROIRLTY,OBEROI REALTY LTD.,Active,A ,10.0,INE093I01010,Realty,Equity
5584,533274,PRESTIGE,PRESTIGE ESTATES PROJECTS LTD.,Active,A ,10.0,INE811K01011,Realty,Equity
5585,533275,GAL,GYSCOAL ALLOYS LTD.,Active,T ,1.0,INE482J01021,Iron &amp; Steel/Interm.Products,Equity
5586,533276,BSLIMITED,BS LTD.,Active,B ,1.0,INE043K01029,Construction &amp; Engineering,Equity
5588,533278,COALINDIA,COAL INDIA LTD.,Active,A ,10.0,INE522F01014,Coal,Equity
5589,533281,TECHNO,TECHNO ELECTRIC AND ENGINEERING CO. LTD.,Active,B ,2.0,INE286K01024,Heavy Electrical Equipment,Equity
5590,533282,GRAVITA,GRAVITA INDIA LTD.,Active,B ,2.0,INE024L01027,Other Non-Ferrous Metals,Equity
5592,533284,RPPINFRA,RPP INFRA PROJECTS LTD.,Active,B ,10.0,INE324L01013,Construction &amp; Engineering,Equity
